method,n,mean_runtime_s,median_runtime_s,n_runs
exact,10,0.0014878908793131,0.0010018348693847,3
sa,10,25.553104559580486,26.33238673210144,3
tabu,10,60.00162100791931,60.001643896102905,3
exact,20,1.4607927799224854,1.331778049468994,3
sa,20,64.3629704316457,65.20735287666321,3
tabu,20,60.00135866800944,60.00143218040466,3
sa,30,124.51270230611165,124.92471194267272,3
tabu,30,60.00184194246928,60.001938819885254,3
sa,40,195.06802026430765,189.9947299957275,3
tabu,40,60.00190393129984,60.00194573402405,3
